date,ticker,open,high,low,close
08/09/2023 04:00,USDJPY,147.215,147.343,147.147,147.235
08/09/2023 05:00,USDJPY,147.236,147.295,147.145,147.228
08/09/2023 06:00,USDJPY,147.229,147.258,147.13,147.141
08/09/2023 07:00,USDJPY,147.147,147.245,147.047,147.237
08/09/2023 08:00,USDJPY,147.239,147.445,147.21,147.393
08/09/2023 09:00,USDJPY,147.395,147.457,147.363,147.408
08/09/2023 10:00,USDJPY,147.409,147.411,147.266,147.27
08/09/2023 11:00,USDJPY,147.261,147.395,147.239,147.389
08/09/2023 12:00,USDJPY,147.384,147.495,147.361,147.453
08/09/2023 13:00,USDJPY,147.455,147.57,147.287,147.551
08/09/2023 14:00,USDJPY,147.551,147.7,147.42,147.464
08/09/2023 15:00,USDJPY,147.459,147.681,147.317,147.635
08/09/2023 16:00,USDJPY,147.636,147.745,147.587,147.698
08/09/2023 17:00,USDJPY,147.7,147.78,147.65,147.767
08/09/2023 18:00,USDJPY,147.762,147.778,147.696,147.735
08/09/2023 19:00,USDJPY,147.731,147.836,147.704,147.828
08/09/2023 20:00,USDJPY,147.822,147.871,147.805,147.848
08/09/2023 21:00,USDJPY,147.842,147.859,147.749,147.789
10/09/2023 22:00,USDJPY,146.875,147.026,146.64,146.784
10/09/2023 23:00,USDJPY,146.796,147.271,146.783,147.113
11/09/2023 00:00,USDJPY,147.116,147.257,147.017,147.121
11/09/2023 01:00,USDJPY,147.124,147.144,146.81,146.953
11/09/2023 02:00,USDJPY,146.953,147.093,146.768,146.908
11/09/2023 03:00,USDJPY,146.909,146.913,146.537,146.631
11/09/2023 04:00,USDJPY,146.63,146.682,146.361,146.464
11/09/2023 05:00,USDJPY,146.463,146.713,146.146,146.2
11/09/2023 06:00,USDJPY,146.197,146.248,145.983,146.206
11/09/2023 07:00,USDJPY,146.208,146.288,145.905,146.071
11/09/2023 08:00,USDJPY,146.065,146.156,146.014,146.122
