date,ticker,open,high,low,close
18/01/2023 07:00,USDJPY,130.727,130.919,130.037,130.253
18/01/2023 08:00,USDJPY,130.25,130.316,129.6,129.663
18/01/2023 09:00,USDJPY,129.668,129.909,129.195,129.39
18/01/2023 10:00,USDJPY,129.389,129.582,129.055,129.18
18/01/2023 11:00,USDJPY,129.183,129.39,128.836,128.987
18/01/2023 12:00,USDJPY,128.984,129.24,128.88,129.08
18/01/2023 13:00,USDJPY,129.077,129.142,127.997,128.125
18/01/2023 14:00,USDJPY,128.121,128.29,127.56,128.127
18/01/2023 15:00,USDJPY,128.133,128.44,128.006,128.365
18/01/2023 16:00,USDJPY,128.364,128.611,128.219,128.464
18/01/2023 17:00,USDJPY,128.459,128.953,128.44,128.818
18/01/2023 18:00,USDJPY,128.815,128.847,128.6,128.776
18/01/2023 19:00,USDJPY,128.775,128.896,128.662,128.69
18/01/2023 20:00,USDJPY,128.691,128.866,128.68,128.864
18/01/2023 21:00,USDJPY,128.863,128.938,128.767,128.848
18/01/2023 22:00,USDJPY,128.909,128.95,128.591,128.76
18/01/2023 23:00,USDJPY,128.762,128.845,128.445,128.552
19/01/2023 00:00,USDJPY,128.554,128.606,128.277,128.425
19/01/2023 01:00,USDJPY,128.419,128.696,128.304,128.574
19/01/2023 02:00,USDJPY,128.573,128.635,128.36,128.429
19/01/2023 03:00,USDJPY,128.421,128.446,128.149,128.286
19/01/2023 04:00,USDJPY,128.287,128.296,127.9,128.031
19/01/2023 05:00,USDJPY,128.024,128.068,127.759,127.982
19/01/2023 06:00,USDJPY,127.983,128.032,127.759,127.956
19/01/2023 07:00,USDJPY,127.952,128.245,127.893,128.181
19/01/2023 08:00,USDJPY,128.179,128.34,128.08,128.193
19/01/2023 09:00,USDJPY,128.191,128.399,128.189,128.315
19/01/2023 10:00,USDJPY,128.317,128.667,128.304,128.503
19/01/2023 11:00,USDJPY,128.506,128.722,128.429,128.616
19/01/2023 12:00,USDJPY,128.605,128.658,128.36,128.627
19/01/2023 13:00,USDJPY,128.63,128.814,128.355,128.384
19/01/2023 14:00,USDJPY,128.386,128.494,128.23,128.345
19/01/2023 15:00,USDJPY,128.344,128.62,128.292,128.458
19/01/2023 16:00,USDJPY,128.458,128.592,128.407,128.488
19/01/2023 17:00,USDJPY,128.485,128.624,128.37,128.564
19/01/2023 18:00,USDJPY,128.563,128.628,128.39,128.44
19/01/2023 19:00,USDJPY,128.442,128.535,128.348,128.444
19/01/2023 20:00,USDJPY,128.447,128.478,128.296,128.432
19/01/2023 21:00,USDJPY,128.43,128.446,128.35,128.428
19/01/2023 22:00,USDJPY,128.427,128.461,128.336,128.408
19/01/2023 23:00,USDJPY,128.417,128.48,128.346,128.37
20/01/2023 00:00,USDJPY,128.37,128.685,128.339,128.631
20/01/2023 01:00,USDJPY,128.628,128.887,128.51,128.832
20/01/2023 02:00,USDJPY,128.835,128.891,128.724,128.756
20/01/2023 03:00,USDJPY,128.753,128.82,128.69,128.816
20/01/2023 04:00,USDJPY,128.817,129.124,128.813,129.049
20/01/2023 05:00,USDJPY,129.05,129.3,128.99,129.17
20/01/2023 06:00,USDJPY,129.169,129.183,129.02,129.167
20/01/2023 07:00,USDJPY,129.162,129.18,128.772,128.882
20/01/2023 08:00,USDJPY,128.886,129.256,128.72,129.222
20/01/2023 09:00,USDJPY,129.225,129.5,129.155,129.466
20/01/2023 10:00,USDJPY,129.462,129.733,129.159,129.627
20/01/2023 11:00,USDJPY,129.63,129.98,129.507,129.912
20/01/2023 12:00,USDJPY,129.917,130.29,129.85,130.111
20/01/2023 13:00,USDJPY,130.108,130.613,130.034,130.598
20/01/2023 14:00,USDJPY,130.605,130.612,130.14,130.218
20/01/2023 15:00,USDJPY,130.215,130.302,129.68,129.926
20/01/2023 16:00,USDJPY,129.925,129.984,129.71,129.975
20/01/2023 17:00,USDJPY,129.976,129.99,129.62,129.733
20/01/2023 18:00,USDJPY,129.735,129.796,129.478,129.609
20/01/2023 19:00,USDJPY,129.608,129.618,129.444,129.559
20/01/2023 20:00,USDJPY,129.56,129.604,129.48,129.58
20/01/2023 21:00,USDJPY,129.582,129.602,129.49,129.567
22/01/2023 22:00,USDJPY,129.472,129.585,129.472,129.566
22/01/2023 23:00,USDJPY,129.595,129.647,129.309,129.386
23/01/2023 00:00,USDJPY,129.385,129.53,129.243,129.275
